,Metric,Current_Comuna,Region,Codigo_region,Comuna,Codigo_comuna,Poblacion,Casos_incrementales,Casos_nuevos,Superficie_km2,IM_interno,IM_externo,IM,Fallecidos_totales,Fallecidos_nuevos,Positividad,Dosis_unica,Primera_dosis,Segunda_dosis,Tercera_dosis,Cuarta_dosis
517,total_samples,Cerro Navia,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
518,non-nan_samples,Cerro Navia,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
519,missing_samples,Cerro Navia,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
520,min_date,Cerro Navia,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
521,max_date,Cerro Navia,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
522,n_unique_vals,Colina,1,1,1,1,,,,,,,,,,,,,,,
523,total_samples,Colina,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
524,non-nan_samples,Colina,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
525,missing_samples,Colina,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
526,min_date,Colina,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
527,max_date,Colina,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
528,n_unique_vals,Conchali,1,1,1,1,,,,,,,,,,,,,,,
529,total_samples,Conchali,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
530,non-nan_samples,Conchali,899,899,899,899,899,250,250,899,384,384,384,226,226,102,596,596,596,596,596
531,missing_samples,Conchali,0,0,0,0,0,649,649,0,515,515,515,673,673,797,303,303,303,303,303
532,min_date,Conchali,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
533,max_date,Conchali,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
534,n_unique_vals,Curacavi,1,1,1,1,,,,,,,,,,,,,,,
535,total_samples,Curacavi,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
536,non-nan_samples,Curacavi,899,899,899,899,899,250,250,899,384,384,384,226,226,102,596,596,596,596,596
537,missing_samples,Curacavi,0,0,0,0,0,649,649,0,515,515,515,673,673,797,303,303,303,303,303
538,min_date,Curacavi,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
539,max_date,Curacavi,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
540,n_unique_vals,El Bosque,1,1,1,1,,,,,,,,,,,,,,,
541,total_samples,El Bosque,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
542,non-nan_samples,El Bosque,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
543,missing_samples,El Bosque,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
544,min_date,El Bosque,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
545,max_date,El Bosque,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
546,n_unique_vals,El Monte,1,1,1,1,,,,,,,,,,,,,,,
547,total_samples,El Monte,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
548,non-nan_samples,El Monte,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
549,missing_samples,El Monte,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
550,min_date,El Monte,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
551,max_date,El Monte,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
552,n_unique_vals,Estacion Central,1,1,1,1,,,,,,,,,,,,,,,
553,total_samples,Estacion Central,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
554,non-nan_samples,Estacion Central,899,899,899,899,899,250,250,899,384,384,384,226,226,102,596,596,596,596,596
555,missing_samples,Estacion Central,0,0,0,0,0,649,649,0,515,515,515,673,673,797,303,303,303,303,303
556,min_date,Estacion Central,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
557,max_date,Estacion Central,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
558,n_unique_vals,Huechuraba,1,1,1,1,,,,,,,,,,,,,,,
559,total_samples,Huechuraba,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899,899
560,non-nan_samples,Huechuraba,899,899,899,899,899,250,250,899,384,384,384,226,226,103,596,596,596,596,596
561,missing_samples,Huechuraba,0,0,0,0,0,649,649,0,515,515,515,673,673,796,303,303,303,303,303
562,min_date,Huechuraba,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-02-26 00:00:00,2020-06-12 00:00:00,2020-06-12 00:00:00,2020-08-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00,2020-12-24 00:00:00
563,max_date,Huechuraba,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2021-03-28 00:00:00,2022-08-12 00:00:00,2022-08-12 00:00:00,2022-08-09 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00,2022-08-11 00:00:00
