REGIÓN,COMUNA,BIENESTAR,ECONOMÍA,EDUCACIÓN,IDC,RANKING,RANGOS
MAULE,RÍO CLARO,0.7962,0.0561,0.5777,0.2955,262,Medio bajo
RM,ALHUÉ,0.8367,0.0551,0.5543,0.2945,263,Medio bajo
BIOBÍO-ÑUBLE,PINTO,0.5892,0.0696,0.6165,0.2935,264,Medio bajo
LOS LAGOS,QUINCHAO,0.4733,0.0723,0.7351,0.2930,265,Medio bajo
MAULE,COLBÚN,0.7643,0.0559,0.5864,0.2926,266,Medio bajo
LOS LAGOS,PUERTO OCTAY,0.5690,0.0687,0.6385,0.2922,267,Medio bajo
BIOBÍO-ÑUBLE,SAN NICOLÁS,0.7090,0.0469,0.7503,0.2922,268,Medio bajo
COQUIMBO,MONTE PATRIA,0.7233,0.0537,0.6416,0.2922,269,Medio bajo
MAGALLANES,SAN GREGORIO,0.6851,0.0564,0.6406,0.2914,270,Medio bajo
LOS LAGOS,FRESIA,0.6491,0.0613,0.6088,0.2894,271,Medio bajo
LOS LAGOS,LOS MUERMOS,0.5861,0.0660,0.6259,0.2894,272,Medio bajo
MAULE,PELLUHUE,0.6747,0.0584,0.6119,0.2890,273,Medio bajo
ARAUCANÍA,PURÉN,0.7115,0.0559,0.5898,0.2863,274,Medio bajo
BIOBÍO,NEGRETE,0.7066,0.0534,0.6127,0.2848,275,Bajo
LOS RÍOS,CORRAL,0.5438,0.0745,0.5704,0.2848,276,Bajo
BIOBÍO,QUILACO,0.6459,0.0612,0.5833,0.2847,277,Bajo
O'HIGGINS,LOLOL,0.6815,0.0587,0.5618,0.2822,278,Bajo
LOS LAGOS,HUALAIHUÉ,0.4822,0.0708,0.6542,0.2816,279,Bajo
MAGALLANES,TORRES DEL PAINE,0.6592,0.0640,0.5259,0.2810,280,Bajo
ATACAMA,FREIRINA,0.7111,0.0568,0.5426,0.2799,281,Bajo
BIOBÍO,SANTA JUANA,0.7077,0.0482,0.6423,0.2798,282,Bajo
BIOBÍO-ÑUBLE,SAN FABIÁN,0.7776,0.0462,0.6091,0.2796,283,Bajo
BIOBÍO-ÑUBLE,QUIRIHUE,0.7316,0.0411,0.6963,0.2757,284,Bajo
MAULE,PENCAHUE,0.6533,0.0577,0.5505,0.2747,285,Bajo
COQUIMBO,COMBARBALÁ,0.7014,0.0470,0.6288,0.2747,286,Bajo
LOS LAGOS,MAULLÍN,0.6792,0.0517,0.5889,0.2745,287,Bajo
ARAUCANÍA,PERQUENCO,0.6612,0.0517,0.6008,0.2739,288,Bajo
O'HIGGINS,PUMANQUE,0.7015,0.0512,0.5712,0.2738,289,Bajo
COQUIMBO,PUNITAQUI,0.5965,0.0524,0.6561,0.2736,290,Bajo
BIOBÍO,ANTUCO,0.7123,0.0477,0.5859,0.2710,291,Bajo
BIOBÍO-ÑUBLE,ÑIQUÉN,0.6615,0.0514,0.5765,0.2697,292,Bajo
LOS LAGOS,CURACO DE VÉLEZ,0.5582,0.0599,0.5832,0.2692,293,Bajo
ARAUCANÍA,CARAHUE,0.5831,0.0524,0.6181,0.2662,294,Bajo
LOS LAGOS,QUEMCHI,0.4429,0.0698,0.6004,0.2648,295,Bajo
ATACAMA,ALTO DEL CARMEN,0.6876,0.0497,0.5419,0.2647,296,Bajo
ARAUCANÍA,VILCÚN,0.5578,0.0496,0.6596,0.2633,297,Bajo
MAULE,EMPEDRADO,0.6606,0.0476,0.5758,0.2627,298,Bajo
ARAUCANÍA,CUNCO,0.6375,0.0441,0.6348,0.2612,299,Bajo
BIOBÍO-ÑUBLE,PEMUCO,0.6542,0.0487,0.5596,0.2612,300,Bajo
RM,SAN PEDRO,0.5489,0.0572,0.5619,0.2603,301,Bajo
ARICA Y PARINACOTA,PUTRE,0.5063,0.0650,0.5340,0.2600,302,Bajo
BIOBÍO-ÑUBLE,SAN IGNACIO,0.6009,0.0472,0.6186,0.2599,303,Bajo
BIOBÍO-ÑUBLE,RANQUIL,0.7139,0.0409,0.5939,0.2587,304,Bajo
BIOBÍO,CONTULMO,0.6101,0.0470,0.5998,0.2581,305,Bajo
LOS RÍOS,LAGO RANCO,0.5893,0.0471,0.6007,0.2555,306,Bajo
ANTOFAGASTA,OLLAGÜE,0.6779,0.0557,0.4334,0.2538,307,Bajo
ARAUCANÍA,FREIRE,0.4792,0.0535,0.6172,0.2511,308,Bajo
COQUIMBO,LA HIGUERA,0.6189,0.0506,0.5050,0.2510,309,Bajo
BIOBÍO,FLORIDA,0.5087,0.0529,0.5873,0.2509,310,Bajo
